"id","main_id","ra","dec","distance_ly","x","y","z","spectral_type","diameter_solar","diameter_km","temperature","mass"
"1","2MASS J16334976-6808488","248.457409358136","-68.1468705833386","50.03","-6.8381","-17.3217","-46.4349","M8.5V","0.18","250560.0","3000.0","0.3"
"2","LP  356-106","52.20652624616","26.48676057833","50.08","27.4686","35.4206","22.3352","M4V","0.34","473280.0","3000.0","0.3"
"3","CD-49  2340","99.2967723532299","-50.0382649460782","50.09","-5.1973","31.749","-38.3927","K8Vk:","0.58","807360.0","4000.0","0.7"
"4","G  32-6","4.06094370397375","19.8604279553439","50.1","47.0019","3.3369","17.0205","M4.0V","0.34","473280.0","3000.0","0.3"
"5","WT 426","202.755955128323","-45.5859845520789","50.1","-32.3327","-13.5622","-35.7865","M3.5V","0.38","528960.0","3000.0","0.3"
"6","2MASS J06020638+4043588","90.526604","40.733025","50.1","-0.3489","37.9621","32.692","T4.5","","","",""
"7","HD   4967","12.8917501217029","-22.9100667377361","50.11","44.9937","10.2981","-19.5071","K5V","0.7","974400.0","4000.0","0.7"
"8","LP  699-32","331.54011725151","-7.39322333762","50.11","43.688","-23.6811","-6.4481","M5.5Ve","0.3","417600.0","3000.0","0.3"
"9","HD   4967B","12.8966163809921","-22.9085863887944","50.12","45.0023","10.3041","-19.5098","M5.5V","0.3","417600.0","3000.0","0.3"
"10","G  32-7","4.06730424462125","19.8640206143967","50.14","47.038","3.3447","17.037","M4.0V","0.34","473280.0","3000.0","0.3"
"11","L  404-216","214.198024062443","-44.8891527576439","50.18","-29.4044","-19.9817","-35.4139","M3e","0.38","528960.0","3000.0","0.3"
"12","Wolf   66","21.4027592","9.7567828","50.18","46.0437","18.0469","8.5038","M3.5V","0.38","528960.0","3000.0","0.3"
"13","ULAS J130217.21+130851.2","195.571695","13.147537","50.18","-47.0711","-13.1174","11.4139","T8.5","","","",""
"14","WISE J152305.10+312537.6","230.7709225","31.4285695555556","50.18","-27.0792","-33.1679","26.1656","T6.5pec","","","",""
"15","UCAC4 641-049451","199.679373557984","38.1762784932083","50.19","-37.1505","-13.2867","31.0216","G","1.0","1392000.0","5500.0","1.0"
"16","CD-27  9225","201.453527150038","-28.3739864823622","50.19","-41.1007","-16.1515","-23.8515","M1V","0.46","640320.0","3000.0","0.3"
"17","WG  21","186.67509426272","-66.20512980332","50.19","-20.1126","-2.3538","-45.9236","DA6.6","","","",""
"18","LP  987-23","356.659317023642","-34.1671013861553","50.19","41.4568","-2.4199","-28.1871","M3","0.38","528960.0","3000.0","0.3"
"19","Ross  188","307.856826520853","38.5622845931469","50.23","24.1035","-31.0105","31.3116","M5V","0.3","417600.0","3000.0","0.3"
"20","HD   3443","9.33633168345234","-24.7672734136729","50.23","45.0055","7.3992","-21.043","K1V+G","0.86","1197120.0","4000.0","0.7"
"21","G 241-45","346.874656054954","68.6680989326022","50.24","17.7984","-4.1501","46.798","M3.0V","0.38","528960.0","3000.0","0.3"
"22","G 138-40","248.22017010345","9.84054712172","50.26","-18.3741","-45.9856","8.5898","M3.5V","0.38","528960.0","3000.0","0.3"
"23","WISE J105257.95-194250.2","163.240446875","-19.7130824444444","50.26","-45.3047","13.6434","-16.9532","T7.5","","","",""
"24","[LM84] 4-72","301.980165031564","-42.0874041926956","50.26","19.7546","-31.6383","-33.6874","M","0.3","417600.0","3000.0","0.3"
"25","L  528-16","114.5403945073","-31.20530820265","50.27","-17.858","39.1128","-26.0452","M2.5","0.42","584640.0","3000.0","0.3"
"26","UCAC4 331-005234","66.04819305214","-23.94340560414","50.28","18.6556","41.9961","-20.4053","M2.5","0.42","584640.0","3000.0","0.3"
"27","VB  3","116.410114557555","-33.9309281685683","50.32","-18.5706","37.3936","-28.0883","DC10","","","",""
"28","G 149-70","199.136838354195","27.8749439195219","50.33","-42.0316","-14.585","23.5315","M4V","0.34","473280.0","3000.0","0.3"
"29","Ross  689","181.373667671811","69.5396117802314","50.33","-17.5883","-0.4218","47.1549","M4V","0.34","473280.0","3000.0","0.3"
"30","BD+10  1857","130.68554072375","9.55670026944445","50.33","-32.3551","37.6355","8.356","M1V","0.46","640320.0","3000.0","0.3"
"31","WISE J104245.23-384238.3","160.688462","-38.710647","50.33","-37.0635","12.9878","-31.4758","T8.5","","","",""
"32","L  489-43","283.105442654527","-37.5101292102392","50.38","9.0615","-38.9228","-30.6765","M4.5","0.34","473280.0","3000.0","0.3"
"33","PM J23462+2826","356.55862570199","28.43441303655","50.39","44.2312","-2.6599","23.9933","M3.5V","0.38","528960.0","3000.0","0.3"
"34","CD-45  5627","149.643013531303","-46.4251128810539","50.4","-29.9776","17.5575","-36.5135","M3Ve","0.38","528960.0","3000.0","0.3"
"35","2MASS J20575409-0252302","314.47539019797","-2.87506874657","50.4","35.2659","-35.9177","-2.528","L1","","","",""
"36","BD+10  1857C","130.717618832651","9.55310345953472","50.41","-32.428","37.6776","8.3661","M2.5V","0.42","584640.0","3000.0","0.3"
"37","G  70-43","17.9816108397746","4.91809719847167","50.43","47.7902","15.511","4.3234","M3.5V","0.38","528960.0","3000.0","0.3"
"38","LP  848-36","159.438802703404","-27.7773895067047","50.45","-41.7929","15.6766","-23.5116","dM5.0","","","",""
"39","LSPM J0344+0741","56.08676255409","7.69859189623","50.48","27.9108","41.5149","6.7624","M5V","0.3","417600.0","3000.0","0.3"
"40","LSPM J2122+2255","320.52617442396","22.93142786353","50.5","35.9011","-29.567","19.6763","M1.0V","0.46","640320.0","3000.0","0.3"
"41","G  70-44","17.9916254670729","4.90346068947945","50.51","47.8643","15.5443","4.3174","M4V","0.34","473280.0","3000.0","0.3"
"42","Wolf 1225","335.871239279593","32.4594208795956","50.59","38.9569","-17.4497","27.1518","M3.0V","0.38","528960.0","3000.0","0.3"
"43","LP   89-101","122.07572265805","58.51928659166","50.62","-14.0377","22.3991","43.1695","M0V","0.5","696000.0","3000.0","0.3"
"44","* del Aql","291.374589138938","3.11477947495713","50.64","18.4292","-47.0872","2.7516","F1IV-V(n)","1.47","2046240.0","6500.0","1.3"
"45","*  51 Peg","344.36658535524","20.76883251114","50.64","45.5977","-12.7598","17.9569","G2IV","1.06","1475520.0","5500.0","1.0"
"46","WISE J024714.52+372523.5","41.8105625833333","37.4233120555555","50.65","29.9815","26.8165","30.78","T8","","","",""
"47","L  355-62","328.688786405588","-46.992733348137","50.66","29.5221","-17.9576","-37.046","M3V","0.38","528960.0","3000.0","0.3"
"48","LEHPM 4771","337.539238247547","-53.7487751171864","50.68","27.6951","-11.4495","-40.87","M4.5","0.34","473280.0","3000.0","0.3"
"49","LP  889-37","62.2316024","-31.4816173","50.69","20.1403","38.2505","-26.4716","M4.5","0.34","473280.0","3000.0","0.3"
"50","LP  388-55","263.804040399077","26.5797375567286","50.7","-4.8937","-45.0768","22.6854","M7.5+L0","0.22","306240.0","3000.0","0.3"
"51","2MASS J17545447+1649196","268.726967","16.82213","50.72","-1.0786","-48.5376","14.6784","T5.5","","","",""
"52","L    2-77","326.67786695703","-85.7179121091192","50.73","3.1651","-2.0808","-50.5884","M3.5","0.38","528960.0","3000.0","0.3"
"53","HD 207129","327.065629847578","-47.3036160814856","50.75","28.8837","-18.7103","-37.2991","G2V","1.06","1475520.0","5500.0","1.0"
"54","G 259-17","265.67314950325","75.6218817918922","50.75","-0.9508","-12.5663","49.1604","M4.5V","0.34","473280.0","3000.0","0.3"
"55","G 195-22","139.441619036566","58.4226235442353","50.77","-20.1983","17.2866","43.2527","M5V","0.3","417600.0","3000.0","0.3"
"56","BD+45  2743","278.82662633606","45.7440387714539","50.78","5.4377","-35.0179","36.3701","M0.5V","0.5","696000.0","3000.0","0.3"
"57","L  715-38","326.68967746997","-21.29637476897","50.79","39.5472","-25.9879","-18.4465","M4.0V","0.34","473280.0","3000.0","0.3"
"58","BD+45  2743B","278.863700695252","45.7613742199203","50.8","5.4608","-35.0173","36.3952","M2.5V","0.42","584640.0","3000.0","0.3"
"59","G  55-35","159.919016096783","-6.92375195077278","50.81","-47.3732","17.3183","-6.1251","dM2.5","","","",""
"60","HD 139763","235.14404171632","-18.04902767988","50.82","-27.6152","-39.6504","-15.7456","K6Vk","0.66","918720.0","4000.0","0.7"
"61","LP  739-36","213.943145524406","-13.4926175065592","50.82","-40.9963","-27.5932","-11.8573","sdM3.5","","","",""
"62","G  23-19","299.565585211537","2.03767749100778","50.85","25.0745","-44.2009","1.8081","M2.5V","0.42","584640.0","3000.0","0.3"
"63","CD-29  4446","112.213980047792","-30.2470304823406","50.85","-16.6075","40.667","-25.6146","M1Ve","0.46","640320.0","3000.0","0.3"
"64","2MASS J01075242+0041563","16.968425","0.698999","50.86","48.6422","14.8421","0.6205","L8","","","",""
"65","* alf Gem","113.649471639766","31.8882822164633","50.87","-17.3263","39.5652","26.8728","A1V+A2Vm","2.4","3340800.0","8500.0","2.0"
"66","L  294-92","26.9271020643954","-48.6015005646183","50.89","30.0046","15.2401","-38.174","M4e","0.34","473280.0","3000.0","0.3"
"67","* mu. Ara","266.03626308953","-51.8340532231","50.89","-2.1738","-31.3718","-40.011","G3IV-V","1.04","1447680.0","5500.0","1.0"
"68","LP  844-28","133.834323085753","-23.8706920165053","50.9","-32.2367","33.5758","-20.5979","M4V","0.34","473280.0","3000.0","0.3"
"69","HD 182488","290.8917215349","33.22196622942","50.91","15.1874","-39.789","27.8928","K0V","0.9","1252800.0","4000.0","0.7"
"70","* tau Boo","206.815575716678","17.4568915432222","50.93","-43.3597","-21.9174","15.2784","F7IV-V","1.29","1795680.0","6500.0","1.3"
"71","HD 190404","300.967195507723","23.3406858398261","50.95","24.0708","-40.1125","20.1863","K1V","0.86","1197120.0","4000.0","0.7"
"72","LP  739-3","209.581610636632","-13.2736126563136","50.96","-43.1336","-24.485","-11.7005","M4.0V","0.34","473280.0","3000.0","0.3"
"73","G 112-27","113.573276265433","0.985906861073611","50.96","-20.377","46.7004","0.8768","M2.5V","0.42","584640.0","3000.0","0.3"
"74","WISEA J105130.02-213859.9","162.874689375","-21.6494413888889","50.96","-45.2652","13.9473","-18.8005","T8.5","","","",""
"75","L   34-16","123.427439928247","-76.1301142667311","50.97","-6.7309","10.1973","-49.4838","M2.5V","0.42","584640.0","3000.0","0.3"
"76","CD-36  6589","160.288768118682","-36.8954627083742","50.98","-38.3814","13.751","-30.6062","M0.5V","0.5","696000.0","3000.0","0.3"
"77","2MASS J10511900+5613086","162.82913566894","56.2190767340514","51.02","-27.1037","8.3749","42.4063","L2","","","",""
"78","2MASS J09090085+6525275","137.253563","65.424324","51.04","-15.5886","14.4081","46.4164","T1.5+T2.5","","","",""
"79","CD-28  1745B","71.84642045585","-27.84322891692","51.04","14.0613","42.8846","-23.8384","M2Ve","0.42","584640.0","3000.0","0.3"
"80","RX J0916.1+0153","139.04242199797","1.88578639381","51.05","-38.5318","33.4452","1.6799","M4.0Ve","0.34","473280.0","3000.0","0.3"
"81","CD-42 15640B","327.297684146439","-41.5586968247383","51.09","32.1697","-20.6544","-33.8924","M0","0.5","696000.0","3000.0","0.3"
"82","CD-28  1745","71.84450434406","-27.84147544192","51.11","14.0822","42.9437","-23.8697","M0V","0.5","696000.0","3000.0","0.3"
"83","BD-07   699","58.6477748812529","-6.82601501498139","51.11","26.4039","43.3378","-6.0747","K5V","0.7","974400.0","4000.0","0.7"
"84","G 272-10","20.8251207834137","-12.9396822460669","51.13","46.5761","17.716","-11.4493","dM6.5","","","",""
"85","G 232-69","336.233013950441","52.0051914411","51.14","28.8114","-12.6875","40.3017","M4.5V","0.34","473280.0","3000.0","0.3"
"86","G 267-11","359.964061292878","-34.1117831910094","51.15","42.3494","-0.0266","-28.6854","M3V","0.38","528960.0","3000.0","0.3"
"87","LP  788-1","142.842984016567","-17.2951820549444","51.15","-38.9225","29.4978","-15.2066","M6.5","0.26","361920.0","3000.0","0.3"
"88","GD 140","174.27126727772","29.7995246503","51.18","-44.1906","4.4332","25.4348","DA2.2","","","",""
"89","LSPM J0540+0854","85.22458268454","8.90506898327","51.18","4.2094","50.3876","7.9226","M6V","0.26","361920.0","3000.0","0.3"
"90","HD 118972","205.26737731707","-34.46415630435","51.18","-38.1597","-18.0115","-28.9623","K0V","0.9","1252800.0","4000.0","0.7"
"91","HD 152705","254.1778011174","-39.13687615493","51.18","-10.8236","-38.1932","-32.3035","K3/4V","0.78","1085760.0","4000.0","0.7"
"92","2MASS J21415505-5118506","325.479516566293","-51.3140673421755","51.23","26.3832","-18.1465","-39.9893","L6pec","","","",""
"93","HD 213042","337.313484966787","-30.0184065836308","51.24","40.9342","-17.1118","-25.6343","K4V","0.74","1030080.0","4000.0","0.7"
"94","HD  34673","79.8027522243654","-3.0738162980375","51.25","9.0601","50.3679","-2.7482","K3V","0.78","1085760.0","4000.0","0.7"
"95","BD-02  3000","148.299096503004","-3.69011280895889","51.27","-43.5302","26.8858","-3.2997","M2V","0.42","584640.0","3000.0","0.3"
"96","HD   4378A","11.4511964624271","-41.9091889696033","51.29","37.4104","7.5781","-34.2593","K5Ve","0.7","974400.0","4000.0","0.7"
"97","SIPS J1753-6559","268.438274922896","-65.9987963548653","51.3","-0.5687","-20.8588","-46.8644","L4","","","",""
"98","CD-38 11343A","254.20236793878","-39.09393234743","51.3","-10.8391","-38.3108","-32.3495","M3Ve","0.38","528960.0","3000.0","0.3"
"99","HD   4378B","11.4529515824713","-41.909617298415","51.3","37.4172","7.5806","-34.2662","K7Ve","0.62","863040.0","4000.0","0.7"
"100","Ross   54","106.073759827068","-10.508771379896","51.32","-13.9709","48.4866","-9.3601","M3.5V","0.38","528960.0","3000.0","0.3"
"101","G 258-2","255.44110688943","74.19756993266","51.34","-3.5145","-13.532","49.3997","M3.5V","0.38","528960.0","3000.0","0.3"
"102","CD-38 11343B","254.20141127692","-39.09351265404","51.35","-10.8504","-38.3482","-32.3807","M4Ve","0.34","473280.0","3000.0","0.3"
"103","WISEA J131833.96-175826.3","199.643224916667","-17.9740018888889","51.36","-46.0104","-16.4227","-15.8489","T8","","","",""
"104","LP  566-4","251.4304874","4.7443467","51.36","-16.2998","-48.5193","4.248","dM6.5","","","",""
"105","* sig Boo","218.67007244468","29.74512713165","51.39","-34.8365","-27.8795","25.4968","F4VkF2mF1","1.38","1920960.0","6500.0","1.3"
"106","CD-43 11010","250.367769275055","-43.9864616689414","51.4","-12.4254","-34.8327","-35.6967","M1.5V","0.46","640320.0","3000.0","0.3"
"107","HD 182488B","290.89176125","33.2219558333333","51.4","15.3336","-40.172","28.1612","T9","","","",""
"108","L   74-113","252.101956108255","-72.9760863825908","51.42","-4.6265","-14.3257","-49.1669","M0.5V","0.5","696000.0","3000.0","0.3"
"109","LP  224-38","241.640811496781","40.9061224415197","51.43","-18.4631","-34.2051","33.6775","M6Ve","0.26","361920.0","3000.0","0.3"
"110","LSPM J0714+3702","108.51642564987","37.04611572216","51.43","-13.0362","38.9239","30.9844","M8","0.18","250560.0","3000.0","0.3"
"111","V* V1386 Ori","91.6686585365","15.54210524195","51.44","-1.4431","49.538","13.7832","K0V","0.9","1252800.0","4000.0","0.7"
"112","* b Her","271.75662775372","30.56210691458","51.45","1.3581","-44.2817","26.1609","F6V","1.32","1837440.0","6500.0","1.3"
"113","CD-44 14334","317.956534037049","-43.6136527459878","51.45","27.6634","-24.9462","-35.4898","M6V","0.26","361920.0","3000.0","0.3"
"114","HD 203040","320.057588904662","-19.8522844014828","51.46","37.1092","-31.0748","-17.4756","K6.5Vk","0.66","918720.0","4000.0","0.7"
"115","LP  440-38","218.04502195967","16.0136988791","51.46","-38.9535","-30.4832","14.1961","M5V","0.3","417600.0","3000.0","0.3"
"116","G 138-64","251.557260247736","16.4779978104469","51.47","-15.6141","-46.8211","14.5993","M3.0V","0.38","528960.0","3000.0","0.3"
"117","HD 127339","217.698820218117","-8.64633054748056","51.48","-40.2699","-31.1228","-7.7392","K7V","0.62","863040.0","4000.0","0.7"
"118","CD-38 11343","254.202365473554","-39.0939227460658","51.48","-10.8772","-38.4452","-32.463","M3Ve+M4Ve","0.38","528960.0","3000.0","0.3"
"119","V* V371 Ori","83.4366667764","1.94540357565","51.48","5.8808","51.1131","1.7476","M3.0Ve","0.38","528960.0","3000.0","0.3"
"120","LSR J0515+5911","78.8789545518838","59.1881777019547","51.48","5.0861","25.8739","44.2138","M7.0V","0.22","306240.0","3000.0","0.3"
"121","BD+41  2695","245.21974790827","40.96145058941","51.49","-16.2973","-35.3025","33.7543","K5V","0.7","974400.0","4000.0","0.7"
"122","BD+76  3952","146.702025233743","76.0439168201867","51.51","-10.3835","6.8202","49.9895","M1.5V","0.46","640320.0","3000.0","0.3"
"123","HD   4378","11.4511962682668","-41.9091933570627","51.59","37.6292","7.6224","-34.4596","K5/M0V","0.7","974400.0","4000.0","0.7"
"124","BD+23  2359","172.930803360201","22.6671398644031","51.6","-47.2524","5.8598","19.8854","M2V","0.42","584640.0","3000.0","0.3"
"125","HD 135599","228.99652851361","0.79636118048","51.6","-33.8517","-38.9372","0.7172","K0V","0.9","1252800.0","4000.0","0.7"
"126","HD 191391","302.581543175162","-20.4934370471103","51.6","26.028","-40.7278","-18.0652","K6Vk","0.66","918720.0","4000.0","0.7"
"127","G 180-18","239.578323481664","35.4067443935458","51.63","-21.3084","-36.2878","29.9132","M3.5V","0.38","528960.0","3000.0","0.3"
"128","WT 929","336.09562459415","-65.97669779587","51.64","19.2198","-8.5188","-47.1669","M3","0.38","528960.0","3000.0","0.3"
"129","LP  776-25","73.10172838965","-16.82275730262","51.66","14.3736","47.3141","-14.951","M3.3V","0.38","528960.0","3000.0","0.3"
"130","RX J1942.2-2045","295.55341978951","-20.76332676982","51.69","20.8485","-43.6051","-18.3245","M5.1V","0.3","417600.0","3000.0","0.3"
"131","SIPS J1145-4055","176.397482139503","-40.9329153306786","51.71","-38.9885","2.4547","-33.8791","M2.5Ve","0.42","584640.0","3000.0","0.3"
"132","PM J01033-1347","15.83843711033","-13.7995788269","51.72","48.3203","13.7083","-12.3366","M3","0.38","528960.0","3000.0","0.3"
"133","L  326-21","185.755970709556","-46.6190095171686","51.73","-35.3514","-3.5634","-37.5975","M4V","0.34","473280.0","3000.0","0.3"
"134","2MASSW J0109216+294925","17.3411403847033","29.8240108263942","51.76","42.8637","13.3843","25.7422","M9.5","0.14","194880.0","3000.0","0.3"
"135","2MASSI J1534498-295227","233.70767","-29.874283","51.77","-26.5711","-36.1823","-25.7866","T4.5+T5","","","",""
"136","2MASS J06560926+4205301","104.038623","42.091709","51.77","-9.3191","37.2697","34.7024","T3","","","",""
"137","Ross  640","247.104179540069","36.77106857706","51.84","-16.1558","-38.2539","31.0324","DZ6","","","",""
"138","G 170-36","260.4775881873","21.42982001817","51.85","-7.9847","-47.6003","18.944","dM4.5","","","",""
"139","G  21-7","274.075749464","1.52426581591639","51.85","3.6839","-51.7006","1.3792","M3V","0.38","528960.0","3000.0","0.3"
"140","* chi Her","238.16892103821","42.4515174663547","51.85","-20.1776","-32.5038","34.997","F8VFe-2Hdel-1","1.26","1753920.0","6500.0","1.3"
"141","LP  831-45","48.575677577165","-23.1582644247047","51.85","31.5413","35.7459","-20.3912","M3.0Ve","0.38","528960.0","3000.0","0.3"
"142","2MASS J11225550+2550250","170.731266","25.840298","51.85","-46.0564","7.5162","22.5996","T6","","","",""
"143","Wolf 1014","333.149770134738","8.55322533531055","51.87","45.7632","-23.167","7.7145","M3.0V","0.38","528960.0","3000.0","0.3"
"144","G 273-59","352.555989297516","-20.3909607948717","51.88","48.2192","-6.3002","-18.0762","M2Ve","0.42","584640.0","3000.0","0.3"
"145","L   31-84","79.2488181142896","-78.2889731419375","51.9","1.9651","10.3495","-50.8196","M3V","0.38","528960.0","3000.0","0.3"
"146","1RXS J055641.0-101837","89.16943772145","-10.31050456586","51.9","0.7402","51.0566","-9.2892","M3.5V","0.38","528960.0","3000.0","0.3"
"147","* m Tau","76.8625232011525","18.6450499357072","51.92","11.1815","47.9075","16.5991","G1V","1.08","1503360.0","5500.0","1.0"
"148","G 221-28","62.0467051060096","74.3836651411811","51.92","6.5515","12.3459","50.0034","M3.5V","0.38","528960.0","3000.0","0.3"
"149","CD-30 11219","212.739419468094","-31.2903256734469","51.92","-37.3197","-23.9951","-26.9659","M2V","0.42","584640.0","3000.0","0.3"
"150","* phi02 Cet","12.5316206769625","-10.6443288478994","51.93","49.8206","11.0738","-9.5921","F7V","1.29","1795680.0","6500.0","1.3"
"151","V* DG Phe","17.2563398507","-51.01372631621","51.95","31.2123","9.6955","-40.3806","M8.5e","0.18","250560.0","3000.0","0.3"
"152","2MASS J13313937-6513056","202.91404220056","-65.21822006687","51.95","-20.0572","-8.4783","-47.166","M9","0.14","194880.0","3000.0","0.3"
"153","G  33-35B","15.8095711217237","20.0983412006986","51.96","46.95","13.294","17.8551","M3.5","0.38","528960.0","3000.0","0.3"
"154","G  33-35A","15.8089773897362","20.0978562844383","51.97","46.9593","13.2961","17.8582","M2V","0.42","584640.0","3000.0","0.3"
"155","HD 107596","185.475307947985","42.1338871542542","51.99","-38.3788","-3.6788","34.8783","K5V","0.7","974400.0","4000.0","0.7"
"156","EGGR 350","155.787762437062","63.4615247372611","51.99","-21.1857","9.5267","46.512","DA7.3","","","",""
"157","2MASSI J2339101+135230","354.792715","13.874577","52.02","50.2938","-4.5835","12.4743","T5.4","","","",""
"158","G 221-22","57.1592556813108","73.5431074968856","52.05","7.9965","12.3888","49.9177","M1V","0.46","640320.0","3000.0","0.3"
"159","Wolf 1246","54.87380784786","24.9673659032","52.06","27.155","38.6001","21.9746","M3.5Ve","0.38","528960.0","3000.0","0.3"
"160","HD 275122","49.5311685844517","38.2520660720758","52.07","26.5392","31.1077","32.2377","M1.5V","0.46","640320.0","3000.0","0.3"
"161","2MASS J00492826+0440575","12.367782","4.682658","52.1","50.721","11.1218","4.2533","L9","","","",""
"162","2MASS J06420559+4101599","100.5233","41.033333","52.1","-7.1777","38.6395","34.2035","L9","","","",""
"163","ULAS J090116.23-030635.0","135.317654166667","-3.10929638888889","52.1","-36.9894","36.5815","-2.8259","T7.5","","","",""
"164","G 230-42","308.417997880711","61.7537749829789","52.11","15.3246","-19.3224","45.9048","M4.0V","0.34","473280.0","3000.0","0.3"
"165","CD-51 10924","262.546685313934","-51.6369806414192","52.12","-4.1961","-32.0745","-40.867","M0V","0.5","696000.0","3000.0","0.3"
"166","CD-51 10924B","262.567658110605","-51.6396098704728","52.12","-4.1841","-32.0742","-40.8685","M3V","0.38","528960.0","3000.0","0.3"
"167","G 264-12","326.667669732158","66.8029574857494","52.14","17.1592","-11.2853","47.9248","M4.0V","0.34","473280.0","3000.0","0.3"
"168","G 125-55","300.860754502756","29.8665358926953","52.16","23.2022","-38.8283","25.9747","M4.5V","0.34","473280.0","3000.0","0.3"
"169","BD+46  1635","157.85090434585","45.52604973141","52.17","-33.8524","13.7798","37.2269","K7V","0.62","863040.0","4000.0","0.7"
"170","G 152-50","236.852286665914","-10.8964630395208","52.17","-28.0122","-42.8925","-9.8619","M2.5V","0.42","584640.0","3000.0","0.3"
"171","LP  535-12","66.5830820095638","3.61004886161778","52.18","20.6962","47.7873","3.2855","M6.5V","0.26","361920.0","3000.0","0.3"
"172","HD 190360","300.905854528364","29.896803454413","52.2","23.2435","-38.828","26.0185","G7IV-V","0.96","1336320.0","5500.0","1.0"
"173","G 193-81","119.594725554523","49.6647844892494","52.21","-16.6893","29.3847","39.7982","M4V","0.34","473280.0","3000.0","0.3"
"174","G  96-10","74.0148021400483","43.2321232893725","52.22","10.4776","36.5755","35.7684","M4.0V","0.34","473280.0","3000.0","0.3"
"175","V* CV Cnc","127.9059283","19.3970228","52.22","-30.2612","38.864","17.3429","M4.0Ve","0.34","473280.0","3000.0","0.3"
"176","EGGR 169","66.47386509899","12.19676034623","52.28","20.3974","46.8524","11.0452","DA8","","","",""
"177","Ross  476","202.511651281292","-8.70707324523972","52.37","-47.8219","-19.8199","-7.9279","M4V","0.34","473280.0","3000.0","0.3"
"178","LP   37-57","150.5241493826","69.75811979777","52.37","-15.7739","8.9157","49.1356","M4.0V","0.34","473280.0","3000.0","0.3"
"179","DENIS J065219.7-253450","103.08234666895","-25.58068405806","52.39","-10.6961","46.0282","-22.621","L0.0","","","",""
"180","WISEP J180435.40+311706.1","271.148172333333","31.2851138611111","52.44","0.898","-44.8059","27.2319","T9.5:","","","",""
"181","WISE J030919.67-501614.3","47.3296749583333","-50.2712262777778","52.44","22.7173","24.6441","-40.3305","T7","","","",""
"182","G 140-19","268.571350076822","7.37911247038195","52.47","-1.2974","-52.0193","6.7389","M4V","0.34","473280.0","3000.0","0.3"
"183","BD-07  3632","202.556820880305","-8.5748522612925","52.48","-47.9235","-19.9063","-7.8248","DA3.5","","","",""
"184","LP  574-21","302.6435151118","6.53719663265","52.49","28.1296","-43.9115","5.9759","M4V","0.34","473280.0","3000.0","0.3"
"185","UPM J1425+2540","216.39442338896","25.66806279689","52.5","-38.0897","-28.0764","22.7407","M6V","0.26","361920.0","3000.0","0.3"
"186","CD-25 15988","338.501985141727","-25.2424190149528","52.54","44.2169","-17.4157","-22.4056","M2+Vk","0.42","584640.0","3000.0","0.3"
"187","L  570-26","325.48985483273","-33.0082781576","52.55","36.3132","-24.9668","-28.6271","DZ7","","","",""
"188","CD-33 13497","280.802105621638","-33.3794782041553","52.56","8.2257","-43.1122","-28.9175","M2","0.42","584640.0","3000.0","0.3"
"189","LP  135-272","230.25437414416","50.88966710781","52.57","-21.2031","-25.4979","40.7908","M7.5","0.22","306240.0","3000.0","0.3"
"190","CD-29  8019","150.294755350853","-30.3901476219306","52.61","-39.4177","22.4882","-26.6146","M3V","0.38","528960.0","3000.0","0.3"
"191","Wolf  896","314.19415385351","-10.4485409036811","52.63","36.0796","-37.109","-9.5446","dM2.5","","","",""
"192","2MASS J04455387-3048204","71.4745672657079","-30.8057357851064","52.66","14.3708","42.8864","-26.9687","L2","","","",""
"193","G 131-66","6.33582270181958","22.8864203271761","52.69","48.2456","5.3569","20.4914","dM4.5","","","",""
"194","L  242-66","122.49188089356","-52.9681734123442","52.69","-17.0463","26.7658","-42.0625","M3V","0.38","528960.0","3000.0","0.3"
"195","HD  17230","41.5719865749692","11.7752390828894","52.7","38.5964","34.2337","10.7546","K6V","0.66","918720.0","4000.0","0.7"
"196","Ross  578","54.5654083084879","-11.4870847317381","52.7","29.942","42.0787","-10.495","d/sdM2","","","",""
"197","MCC 357","6.71959289785","70.1424217975","52.71","17.7817","2.095","49.5759","M1.0V","0.46","640320.0","3000.0","0.3"
"198","LP  591-156","44.01624214351","-0.60918900215","52.72","37.9111","36.6311","-0.5605","M5V","0.3","417600.0","3000.0","0.3"
"199","L  106-15","211.034213236695","-66.2438283045769","52.73","-18.2014","-10.9513","-48.2621","M3","0.38","528960.0","3000.0","0.3"
"200","2MASS J20103539+0634367","302.64745509344","6.57689675377","52.73","28.259","-44.1068","6.0395","M8.5V","0.18","250560.0","3000.0","0.3"
"201","HD  23484","56.0382207164767","-38.2817700731175","52.74","23.1274","34.3372","-32.674","K2V","0.82","1141440.0","4000.0","0.7"
"202","HD 202575","319.13527948374","9.39382647315","52.74","39.3501","-34.0437","8.6082","K3V","0.78","1085760.0","4000.0","0.7"
"203","HD  65907","119.445476246831","-60.3030719291408","52.75","-12.8468","22.7572","-45.8217","F9.5V","1.23","1712160.0","6500.0","1.3"
"204","HD 217580","345.46473488852","-3.84872298131361","52.75","50.9465","-13.2091","-3.5407","K3V","0.78","1085760.0","4000.0","0.7"
"205","DENIS J112639.9-500355","171.6658529696","-50.0652350462675","52.75","-33.5034","4.908","-40.4474","L5.5","","","",""
"206","Ross  193","314.202245202605","-4.84697642932944","52.76","36.6524","-37.6875","-4.4579","M3Vnne","0.38","528960.0","3000.0","0.3"
