"id","main_id","ra","dec","distance_ly","x","y","z","spectral_type","diameter_solar","diameter_km","temperature","mass"
"628","Ross  268","331.594240444637","17.372436665475","57.46","48.2363","-26.0876","17.1565","M3.5V","0.38","528960.0","3000.0","0.3"
"629","LP   37-186","159.260314830874","71.1829736167106","57.5","-17.3446","6.5677","54.4268","DC9","","","",""
"630","G  48-6","140.241450466933","3.36845492438167","57.5","-44.1266","36.7108","3.3785","M4V","0.34","473280.0","3000.0","0.3"
"631","Wolf  926","323.709745796592","51.5371106178619","57.51","28.833","-21.1724","45.031","M2.5V","0.42","584640.0","3000.0","0.3"
"632","BD+06  2986B","226.2391254","5.6326153","57.52","-39.5916","-41.3422","5.6456","sdT5.5","","","",""
"633","ULAS J115239.93+113407.6","178.167776916667","11.5688405555556","57.52","-56.3226","1.8017","11.5354","T8.5","","","",""
"634","2MASS J06143845+0951408","93.660215","9.861338","57.52","-3.6178","56.5546","9.8511","T7","","","",""
"635","2MASSI J2002507-052152","300.71129806349","-5.36459903798","57.53","29.2526","-49.2449","-5.3787","L5.5","","","",""
"636","LSPM J2116+0234","319.11368525094","2.58094222762","57.53","43.4491","-37.6187","2.5906","M3.0V","0.38","528960.0","3000.0","0.3"
"637","CD-27  7978","169.28127848406","-27.81353162811","57.54","-50.0045","9.4654","-26.8479","K7V","0.62","863040.0","4000.0","0.7"
"638","LP  222-65","229.16964622232","39.18011072037","57.54","-29.1624","-33.7488","36.3515","M7V","0.22","306240.0","3000.0","0.3"
"639","G 234-47","132.123646532545","61.1516042943236","57.56","-18.6278","20.5987","50.4168","M4.5V","0.34","473280.0","3000.0","0.3"
"640","CD-27 13268","282.5881783491","-26.92363424511","57.56","11.185","-50.0874","-26.0633","K8Vk","0.58","807360.0","4000.0","0.7"
"641","G  25-4","312.212509757088","11.4555633724625","57.58","37.9163","-41.7975","11.4358","dM4.0","","","",""
"642","G 110-2","99.0266100679587","11.6175284798272","57.58","-8.8488","55.7019","11.5953","M4.5V","0.34","473280.0","3000.0","0.3"
"643","HD  65277","119.49076772216","-0.81441039533","57.58","-28.3428","50.1146","-0.8184","K4V","0.74","1030080.0","4000.0","0.7"
"644","CD-26  3506","103.07115420622","-26.3873054714","57.6","-11.6696","50.2617","-25.5996","M2","0.42","584640.0","3000.0","0.3"
"645","L  257-54","202.607488685756","-52.0445106105886","57.61","-32.7103","-13.621","-45.4248","M3.5V","0.38","528960.0","3000.0","0.3"
"646","LP  370-26","142.296160015372","25.9692437460747","57.63","-40.992","31.6866","25.2355","M5.0","0.3","417600.0","3000.0","0.3"
"647","G  90-44","121.701716083339","36.7607651148169","57.63","-24.2621","39.281","34.4901","M3.0V","0.38","528960.0","3000.0","0.3"
"648","Wolf  990","331.693181606382","3.41773895066306","57.64","50.6572","-27.2839","3.4362","dM4.5","","","",""
