id,main_id,ra,dec,distance_ly,x,y,z,spectral_type,diameter_solar,diameter_km,temperature,mass,luminosity,r,g,b
779,BD+05  3409,262.5947012552,5.548518154949999,33.0,-4.233,-32.569,3.19,M1.0V,0.959,1334471.0,3080.0,0.399,0.04007,255,179,115
780,L  810-58,87.07140900979708,-11.134621330033891,91.43,4.583,89.589,-17.656,K9Vk:,1.261,1754655.0,3420.0,0.562,0.13271,255,190,136
781,PM J06362+4916,99.0694755345981,49.2686246602581,99.46,-10.23,64.088,75.369,K7.5V,0.553,769999.0,3600.0,0.201,0.00361,255,195,146
782,HD  57095,109.37317468019612,-46.97924308553747,47.6,-10.773,30.637,-34.801,K1V+K4V,1.022,1422503.0,4380.0,0.432,0.05299,255,214,182
783,PM J10240+3639,156.02110439548,36.65903406335,94.4,-69.191,30.775,56.361,M3.5V,0.841,1170106.0,2780.0,0.338,0.02255,255,169,93
784,HD 329868,236.6327976372346,-47.23351539593528,96.6,-36.075,-54.779,-70.915,M0,0.569,792420.0,3200.0,0.208,0.0041,255,183,123
785,G 159-3,27.767087137730833,-6.118054597430833,34.44,30.298,15.952,-3.67,M4.5Ve,0.587,817061.0,2660.0,0.216,0.00468,255,165,84
786,HD 108984,187.82623671663998,20.217812459619996,85.91,-79.869,-10.978,29.691,K0V,1.448,2016224.0,4500.0,0.668,0.24374,255,217,187
787,2MASS J04430760-4128575,70.78173938718,-41.482512691310006,88.02,21.705,62.264,-58.301,M4.5,1.099,1530027.0,2660.0,0.473,0.07288,255,165,84
788,*  18 Boo,214.81783216401,13.004301083630002,85.15,-68.109,-47.368,19.16,F3V,1.975,2749272.0,6640.0,0.984,0.94656,255,250,255
789,*  54 Psc,9.8408558033525,21.25047580547778,36.23,33.27,5.771,13.131,K0.5V,0.558,776378.0,4440.0,0.203,0.00375,255,216,185
790,* rho Psc,21.56359331781,19.17234739297,83.98,73.768,29.153,27.579,F2V,2.034,2830971.0,6760.0,1.021,1.07594,251,247,255
791,HD  79210,138.59489526034582,52.686608750931384,20.66,-9.392,8.282,16.43,K7V,1.024,1425872.0,3660.0,0.433,0.05354,255,196,149
792,G 244-47,30.397252983879998,63.769999279580006,38.8,14.793,8.678,34.807,M2.5V,1.41,1962734.0,2900.0,0.646,0.21669,255,173,102
793,BD+22  4725,343.01049711569993,23.413238419700004,91.16,80.006,-24.444,36.225,K5V,0.785,1092459.0,3900.0,0.311,0.0167,255,203,161
794,HD 176051,284.2567077179583,32.90127007002849,48.51,10.03,-39.472,26.349,F9V+K1V,1.626,2262977.0,5920.0,0.772,0.40392,255,244,234
795,* eta Cru,181.72040893237084,-64.61373070048556,64.21,-27.518,-0.827,-58.014,F2V,2.302,3204299.0,6760.0,1.192,1.84993,251,247,255
796,LP  551-13,162.26414147733038,5.0396737085888885,90.93,-86.271,27.592,7.988,M6Ve,0.756,1051715.0,2480.0,0.296,0.01414,255,158,68
797,[W65] 147,172.57704175994,-59.986531480699995,99.03,-49.121,6.4,-85.752,M3,1.472,2049007.0,2840.0,0.682,0.26156,255,171,98
798,* eps Cet,39.89082255350083,-11.872097675596667,76.77,57.642,48.18,-15.793,F5V,2.167,3016992.0,6400.0,1.106,1.42138,255,252,247
